complaint_id,date,product,sub_product,company,state,channel,narrative,word_count
10298545,2024-09-30,Mortgage,Conventional home mortgage,"HOME BANCSHARES, INC.",AR,Web,I purchased my home financed through Centennial Bank in Arkansas [DATE] . Shortly afterwards my business declined. I lost my biggest contract for my business due to gas price surge and shift in economy due to the [REDACTED] pandemic as a result i fell behind on my mortgage payments. I was advised by the bank that I didnt have any options for payment help due to not making the required number of mortgage payments. In [DATE] I was served notice of foreclosure and notified that my property was to be sold on [DATE] . I paid the amount of [REDACTED] to cure the default and to avoid the sale. I was advised that the foreclosure would still remain open. I fell behind again and without notice of new sale date lender sold my property on [DATE] . I received a letter after the sale on [DATE] stating the property was sold. I contacted the lender and was advise that they did not have to notify due to the foreclosure was never dismissed. Why was I not notified of the second sale date after curing the first default amount? How can a lender sale my property without the proper notice and taking over [REDACTED] from me? Now we have 5 days to get out and no help to resolve this matter. We are about to be homeless and on the streets. Im begging the CFPB to please help!,237
17502958,2025-11-26,Debt or credit management,Debt settlement,Experian Information Solutions Inc.,NY,Web,"I am filing a complaint regarding an obsolete account being reported on my credit file. The account from [REDACTED] ( [REDACTED] ) is 7 years and 5 months old, which exceeds the [REDACTED] reporting limit under FCRA Section 605 ( a ). This account should no longer appear on my credit report.",52
7579896,2023-09-20,Mortgage,Conventional home mortgage,Ocwen Financial Corporation,FL,Web,"Since the inception of PHH taking over our servicing, we have had numerous erroneous accounting issues. Our figures have never been accurate. I am attaching 3 years of statements where you can see we have always made our monthly payments, but PHH says we are delinquent on paper, but when you call the CSR says you are current. I filed a [REDACTED] bankruptcy in [REDACTED] due to husband losing his job due to covid. At the time of the bankruptcy we were behind on payments ( [REDACTED] ) days. If you look at statements the amount of the pre petition arrearages changed, but how? The the post petition arrearages were paid current in [DATE] in the amount of [AMOUNT] . I specifically asked the CSR if this would make us current and she said yes. Then I receive my next statement that states I still owed over [AMOUNT] . Now the current statement says [AMOUNT] . I just do not understand what they are doing to us. I have asked for an accounting and I get nowhere. I just can not make sense of their figures. I have lived in my family home for 21 years and do not want to lose it! I have a severe [REDACTED] and I am [REDACTED] , I do not need this stress from them. Please any help is very much appreciated.",228
18487619,2026-01-06,Checking or savings account,Savings account,"FIRST CITIZENS BANCSHARES, INC.",CA,Web,CIT BANK. I have been trying for months Ive secured emailed them [REDACTED] times & never responded then Ive called every week to fix my problem. They tell me the person isnt available or will call me back which they never do. All I want to do is change my phone number because got a new phone so the phone number I have listed before wont let me log into my account because send a verification code to a number I dont have no more. My user name for CIT bank is [REDACTED] email is [REDACTED] phone number [REDACTED],99
8751791,2024-04-11,Student loan,Federal student loan servicing,MOHELA,CA,Web,"I am writing to forward my request to MOHELA to adjust my eligible payments for the Public Loan Forgiveness based on the 3 reasons below. As background, on [DATE] , I sent a written message to MOHELA about my concerns below. I then had several follow up calls to inform MOHELA about the incorrect PSLF and payment count, and even offered to walk them through line by line about how they should correct their errors. After a few calls, on [DATE] , a MOHELA representative finally told me that my [REDACTED] remaining concerns could not be resolved. Despite not addressing my concerns, I received the following message from MOHELA : "" Thank you for contacting MOHELA. Thank you for contacting MOHELA. Our records indicate, that you spoke with a representative on [DATE] , regarding this matter. However, we want to make sure that all of your questions and concerns have been addressed. If you have any additional questions or concerns, you may contact a supervisor on our Customer Advocacy Team at the number listed below and we will be happy to assist you. '' Given MOHELA 's insistence on not resolving my issue, and given that MOHELA 's errors will extend the number of payments I will have to make to get PSLF forgiveness this year, I am requesting assistance from CFPB to resolve these issues. Here are the [REDACTED] concerns : [REDACTED] . [DATE] Administrative Forbearance : I am requesting that [DATE] count as an eligible month for my PSLF count because my former loan provider placed me on administrative forbearance. On [DATE] , I was placed on administrative forbearance while I switched payments plans. I did not request to be on forbearance, but rather was placed on it because my old loan provider was unable to process my change of payment plan request without placing me on administrative forbearance. I also understand that the [REDACTED] adjustment of eligible payments was supposed to included months where a borrower was placed on administrative forbearance such as this situation. My request thus fits squarely with what the [REDACTED] one time adjustment was meant to do. [REDACTED] . [DATE] to [DATE] Administrative Forbearance : MOHELA placed me on administrative forbearance during these months because, as was publicly announce, they did not send me a billing statement on time and did not calculate my monthly payment accurately. Yet, MOHELA has refused to credit",400
7626832,2023-09-28,Debt or credit management,Credit repair services,"John C. Heath, Attorney at Law, PLLC",NY,Web,"Lexington Law charged me a subscription fee of [AMOUNT] a month for 2 years promised me results but i never received any results tried to contact them it was very hard to reach someone and when I did, they would just hang up on me.",45
11779667,2025-01-26,Money transfer or virtual currency,Domestic (US) money transfer,"Block, Inc.",AR,Web,"I am filing a complaint against Cash App ( Block Inc ) due to inadequate customer service and unfair practices, which violates the Consumer Financial Protection Act ( CFPA ). Specifically, Cash App failed to take timely and effective measures to prevent fraud on their platform, leaving my account vulnerable and unprotected. Furthermore, their dispute resolution process was unfair and deceptive, as they did not comply with error resolution requirements under the Electronic Funds Transfer Act ( EFTA ) and Regulation E. These actions have caused significant inconveniences and financial losses and I seek appropriate redress for these violations.",99
13612496,2025-05-21,Payday/title/personal loan,Installment loan,"CITIBANK, N.A.",CA,Web,"The personal loan payment was made for the [REDACTED] 's payment on [REDACTED] , [REDACTED] from my father automatic payment that check was sent and deposited by the Citi bank, but told me that they have not received the payment. ( My father has been made the automatic payments for past 2 years without any problem. ) After speaking to many loan customer service rep from Citi bank, but didn't get problem solved. Finally I've requested to speak to a manager for help and the manager [REDACTED] told me to fax the hard copy of the physical check that payment were processed from my father 's bank. I've faxed the copy of the physical check front and back on [REDACTED] at [REDACTED] from [REDACTED] I called Citi loan service last week on [DATE] /year>, and Citi have received my fax but still no answer. Today I've called to check if my [REDACTED] 's payment was processed and automated system tells that no payments were received in [REDACTED] . I am tired of calling Citi to solve this issue, and Citi bank customer is no longer helping my problem. Now I am asking if Consumer finance can step in to help me to solve my problem. My personal loan is # [REDACTED] , and fax reference # [REDACTED] for hard copy of the check that were processed for the [REDACTED] payment amount of [AMOUNT] were faxed on [DATE] /year> for the [REDACTED] 's payment made. Citi bank has deposited the check, but no payment made for my personal loan payment. Please let me know if there is any more information you may need to this matter. Thank you very much in advance,",281
8577123,2024-03-19,Credit card,General-purpose credit card or charge card,"CITIBANK, N.A.",TX,Web,"Several payment made on my Macy 's credit card that I did not make in [DATE] . I filed a fraud report, and closed the account. I received no further information. I then received an email in [DATE] saying that the account is overdue, from both Macy 's and a credit agency. I called Macy 's. They cut me off 4 times in the space of two hours. They still have not resolved the problem. My perfect credit history is at risk and they have cause significant mental distress.",89
14518249,2025-07-08,Student loan,Federal student loan servicing,"Nelnet, Inc.",UT,Web,"I was a student nearly [REDACTED] ago and took out a student loan that was fully paid off for over [REDACTED] years now. Recently, I have been contacted by Nelnet ( never heard of them before this ), claiming that I still owe on [REDACTED] student Loans [REDACTED] totaling [AMOUNT] and the second [AMOUNT] . To make matters worse, they have been withdrawing money from a bank account of mine without authorization. When I inquired about the charges and where the funds were being applied, Nelnet representatives were unable to provide any clear explanation. They could not even see how they were receiving my payments. Since this began, [REDACTED] or [REDACTED] payments have been missed on [REDACTED] separate loans totaling [REDACTED] missed payments, and my credit score has been significantly affected as a result. I believe I am being wrongfully targeted in what feels like a scam. No one from Nelnet has provided any meaningful assistanceonly demands for payment on a loan I did not authorize and that I believe should not exist. I am requesting a thorough investigation and immediate resolution.",182
